OBJECTID *,Shape *,Bundesland-ID,Bundesland,Geo_ID,Kürzel,Formation,Petrographie,Subgruppe,Gruppe,Subserie,Serie,Subsystem,System,Shape_Length,Shape_Area
1,Polygon,1,Hessen,1,qhDhm,Altwassersediment,Lehm, , , ,Holozän, ,Quartär,436924.8492,66246740.96
2,Polygon,2,andere,1,qhDhm,Altwassersediment,Lehm, , , ,Holozän, ,Quartär,2832.146468,146849.8992
3,Polygon,1,Hessen,42,rV,Vulkanite des Rotliegend,"Andesit, Latit (vorw.) (""Melaphyr"") (effusiv)", ,Rotliegend, ,Unterperm, ,Mitteleuropäische Perm (Dyas),67978.45591,13130258.07
4,Polygon,1,Hessen,48,r,ungegliedert,"Konglomerat, Sandstein, Tonstein",ungegliedert,Rotliegend, ,Unterperm, ,Mitteleuropäische Perm (Dyas),13441.90052,1894256.892
5,Polygon,1,Hessen,74,dsm-oTa,Taunusquarzit,"Quarzit, Tonschiefer, Sandstein",Untersiegenium (Pragium),Siegenium (Pragium),Mittleres Unterdevon,Unterdevon, ,Devon,402117.1446,108508683.7
6,Polygon,1,Hessen,75,dsHK,Hermeskeil-Schichten (Untere Siegen-Stufe),"Sandstein, Tonschiefer",Untersiegenium (Pragium),Siegenium (Pragium),Mittleres Unterdevon,Unterdevon, ,Devon,311819.4873,45390012.67
7,Polygon,1,Hessen,76,dgBu,Bunte Schiefer,"Tonschiefer, Sandstein", ,Gedinnium, ,Unterdevon, ,Devon,253281.2995,61329795.08
8,Polygon,1,Hessen,77,dgK,"Kellerskopf- (Eppenhain-) Formation, (""Graue Phyllite"")","Tonschiefer, Sandstein", ,Gedinnium, ,Unterdevon, ,Devon,26444.49599,5144905.223
9,Polygon,1,Hessen,81,sgn,"Wiesbaden-Metarhyolith (""Serizitgneis""), Rossert-Metaandesit (""Grünschiefer"")","Metarhyolith, -rhyodazit und -andesit", , , , , ,Silur,176910.0147,46397478.41
10,Polygon,1,Hessen,82,Ph,"Metasedimente des Vordertaunus (Lorsbach-Formation, Eppstein-Formation, Bierstadt-Phyllit)",Phyllit, , , , , ,Oberordoviz—Silur,217229.437,68659233.08
11,Polygon,1,Hessen,83,Am,Amphibolite des Odenwaldes und Spessarts,Amphibolit, , , , , ,Ordoviz—Devon,185777.7119,38684928.05
12,Polygon,1,Hessen,94,PzaPo,Plutonische Gesteine des Odenwaldes und Spessarts,Granit, , , , , ,Oberdevon/Unterkarbon,213310.0915,77607663.42
13,Polygon,2,andere,94,PzaPo,Plutonische Gesteine des Odenwaldes und Spessarts,Granit, , , , , ,Oberdevon/Unterkarbon,1143.616787,62076.6264
14,Polygon,2,andere,95,PzaPo,Plutonische Gesteine des Odenwaldes und Spessarts,"Granodiorit, z.T. migmatitisch", , , , , ,Oberdevon/Unterkarbon,2749.765077,212766.5479
15,Polygon,1,Hessen,96,PzaPo,Plutonische Gesteine des Odenwaldes und Spessarts,"Diorit, Quarzdiorit, Gabbrodiorit, Gabbro", , , , , ,Oberdevon/Unterkarbon,228972.2131,72159226.74
16,Polygon,1,Hessen,98,Mr,Auerbacher Marmor,"Marmor, Kalksilikatfels", , , , , ,Oberes Mitteldevon,2847.619144,225247.8841
17,Polygon,1,Hessen,101,Gfl,Flasergneis (synorogener Primärgneis),"Flasergranitoide (vorw. Oligoklas-Kalifeldspat-Quarz-Biotit-Gneis, meist Plagioklas-metablastisch)", , , , , ,Oberdevon/Unterkarbon,240545.9651,95466904.42
18,Polygon,1,Hessen,106,"dzo,TiV",Tholeiitische Metavulkanite der Oberems-Stufe (Basis Gießen-Decke),Tholeiitischer Metabasalt,Oberemsium,Emsium,Oberes Unterdevon,Unterdevon, ,Devon,28183.70064,2532401.21
19,Polygon,2,andere,86,GKSO,Rotgneiskomplex des Odenwaldes und Spessarts (Odenwald: "Böllsteiner Gneise"; Spessart: Rotgneis-Komplex),Muskovit-Biotit-Gneis; Quarz-Oligoklas-/Andesin-Kalifeldspat-Biotit-Gneis, , , , , ,Unterdevon/Oberdevon,1738.476042,143668.4802
20,Polygon,1,Hessen,87,GF,Geiselbach-Formation,Quarzit-Glimmerschiefer, , , , , ,Unterdevon/Oberdevon,20503.32361,11098165.35
21,Polygon,2,andere,87,GF,Geiselbach-Formation,Quarzit-Glimmerschiefer, , , , , ,Unterdevon/Oberdevon,18451.36337,3057371.105
22,Polygon,1,Hessen,88,q,Quarzit,Quarzit, , , , , ,Unterdevon/Oberdevon,5117.417523,228736.2404
23,Polygon,2,andere,88,q,Quarzit,Quarzit, , , , , ,Unterdevon/Oberdevon,11960.63158,1083115.365
24,Polygon,1,Hessen,89,MF,Mömbris-Formation,Staurolith-Granat-Plagioklas-Gneis-Serie, , , , , ,Unterdevon/Oberdevon,4394.996498,495346.1849
25,Polygon,2,andere,89,MF,Mömbris-Formation,Staurolith-Granat-Plagioklas-Gneis-Serie, , , , , ,Unterdevon/Oberdevon,2344.668585,134939.3234
26,Polygon,1,Hessen,90,AF,Alzenau-Formation,Amphibolit-Paragneis-Serie, , , , , ,Unterdevon/Oberdevon,21806.18685,3247886.816
27,Polygon,2,andere,90,AF,Alzenau-Formation,Amphibolit-Paragneis-Serie, , , , , ,Unterdevon/Oberdevon,2078.988468,185743.451
28,Polygon,1,Hessen,91,EF,Elterhof-Formation,Körnig-streifige Paragneis-Serie, , , , , ,Unterdevon/Oberdevon,11236.72956,1492396.136
29,Polygon,1,Hessen,80,o,"Ordovizium, ungegliedert",Quarzit (Andreasteich bei Gießen); Tonschiefer und Konglomerat (Sauerland), , , , , ,Ordoviz,1338.744806,94474.49841
30,Polygon,1,Hessen,99,cd2-3aBVK,Alkalibasaltischer Metavulkaniklastit des Unterkabons 2 - 3,Alkalibasaltische Pillowfragmentbrekzien, ,Tournaisium und Viseum, ,Unterkarbon, ,Karbon,15826.70287,1924029.838
31,Polygon,2,andere,99,cd2-3aBVK,Alkalibasaltischer Metavulkaniklastit des Unterkabons 2 - 3,Alkalibasaltische Pillowfragmentbrekzien, ,Tournaisium und Viseum, ,Unterkarbon, ,Karbon,241.19804,1625.68049
32,Polygon,1,Hessen,105,dG,Gießen-Grauwacke (älterer Teil),"Quarzwacken, Grauwacken", , , ,Oberdevon, ,Devon,81552.06353,42963109.21
33,Polygon,1,Hessen,21,t,"Tertiär, ungegliedert","Ton-Schluff, Sand-Kies, Mergel, Kalkstein, Braunkohle, Quarzit", , , , , ,Tertiär,159132.6727,25611109.52
34,Polygon,1,Hessen,29,ju,"Unterjura, ungegliedert","Tonstein, Kalkstein", , , ,Unterjura (Lias), ,Jura,51093.2035,4532917.942
35,Polygon,1,Hessen,30,ko,ungegliedert,"Sandstein, Ton-Schluffstein",Oberer,Keuper, ,Obertrias, ,Germanische Trias,22456.38658,2904187.93
36,Polygon,2,andere,30,ko,ungegliedert,"Sandstein, Ton-Schluffstein",Oberer,Keuper, ,Obertrias, ,Germanische Trias,8161.892704,323697.0125
37,Polygon,2,andere,33,k,ungegliedert,"Ton-Schluffstein, Sandstein, Dolomit, Dolomitmergelstein",ungegliedert,Keuper, ,Obertrias, ,Germanische Trias,2821.568353,332693.6637
38,Polygon,1,Hessen,78,dg,"Gedinne-Stufe, ungegliedert","Tonschiefer, Sandstein, Grauwacke, Quarzit", ,Gedinnium, ,Unterdevon, ,Devon,11548.45548,1189305.243
39,Polygon,1,Hessen,2,qhDh,"Auensediment, ungegliedert","Lehm, Sand, Kies", , , ,Holozän, ,Quartär,7846034.158,1738682990
40,Polygon,2,andere,2,qhDh,"Auensediment, ungegliedert","Lehm, Sand, Kies", , , ,Holozän, ,Quartär,275426.043,38071672.88
41,Polygon,1,Hessen,3,qhDho,"Holozänes organisches Sediment, ungegliedert",Torf, , , ,Holozän, ,Quartär,500252.3625,72972908.68
42,Polygon,2,andere,3,qhDho,"Holozänes organisches Sediment, ungegliedert",Torf, , , ,Holozän, ,Quartär,3979.090974,201745.841
43,Polygon,1,Hessen,4,qpFl,"Fließerde, ungegliedert","Ton, Schluff, oft mit Steinen, Grus und Sand", , , ,Pleistozän, ,Quartär,12201341.37,3285463574
44,Polygon,2,andere,4,qpFl,"Fließerde, ungegliedert","Ton, Schluff, oft mit Steinen, Grus und Sand", , , ,Pleistozän, ,Quartär,96626.63323,9647334.838
