FID,Shape *,FID_1,AREA,PERIMETER,GEO,SYMBOL,STRATIGRAP,STRAT_SYM,GENESE,GEN_SYM,PETROGRAPH,PET_SYM,BEMERKUNGE,SHAPE_Leng,SHAPE_Area,Strat,Strat2,hlnug
0,Polygon,8467,633611725.7,477448.4022,602,m,"Trias, Muschelkalk",m,marine Ablagerungen,m,"Kalkstein, Mergelstein, Dolomitstein, Tonstein","^k,^m,^d,^t", ,770310.1085,1648329457,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
1,Polygon,8995,212237466.5,162134.2214,602,m,"Trias, Muschelkalk",m,marine Ablagerungen,m,"Kalkstein, Mergelstein, Dolomitstein, Tonstein","^k,^m,^d,^t", ,260817.0227,548387081,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
2,Polygon,9067,150309643,169602.8475,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,272464.0452,387295795.5,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
3,Polygon,9258,115741370.8,148298.2164,598,ku,"Trias, Unterer Keuper",ku,limnisch - fluviatile bis brackische Ablagerungen,"l-f,br","Tonstein, Mergelstein mit Lagen von Sandstein, Dolomit und Kalkstein","^t,^m,lag(^s,^d,^k)", ,238679.3465,299790323.4,"Triassic, Middle to Upper (Keuper)","Triassic, Middle to Upper (Keuper)","Triassic, Middle to Upper (Keuper)"
4,Polygon,9313,3081287.798,7099.414507,24,//f,HolozÑn,qh,fluviatil,f,"Sand, Kies, Schotter","S,G,fX",z.T. unter Aulehmdecke [in den Alpen mit pleistozÑnen Terassen und Hangablagerungen,11436.55924,8000090.799,Holocene,Holocene,Holocene
5,Polygon,9351,2585087.826,9451.62589,526,teo,"TertiÑr, EozÑn",teo,limnisch - fluviatile Ablagerungen,"l,f","Kies, Sand, Ton; braunkohlefÅhrend","G,S,T;^brk", ,15220.02574,6707699.79,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
6,Polygon,9405,2220624.42,5678.618543,500,t,TertiÑr,t, , , , , ,9143.125675,5758580.668,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
7,Polygon,9426,471848.4866,3190.892033,519,tol,"TertiÑr, OligozÑn ungegliedert",tol, , ,"Ton, Schluff, Sand, Kies; Brankohle", , ,5138.499215,1223355.247,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
8,Polygon,9454,8942709.166,13684.94141,94,//Lo,Weichsel-(WÅrm-)Kaltzeit,"qw,qW","Lî· (Ñolisch), Lî·lehm","Lo(a),Lol","Schluff; feinsandig, tonig, z.T. nach unten zunehmend kalkhaltig","U;fS,t,unz(k)","Lî·, Lî·lehm u.a. Lî·derivate, oft Åber Ñlteren Lîssen",22034.02484,23161561.27,Pleistocene,Pleistocene,Pleistocene
9,Polygon,9470,24070498.49,49353.93929,607,mu,"Trias, Unterer Muschelkalk",mu,marine Ablagerungen,m,"dÅnnbankiger Kalkstein, dolomitischer Sandstein, Tonstein, Mergelstein, Kalkmergelstein, Dolomitstein","^k(bfk),^s(d),^t,^m,^mk,^d", ,79343.10528,62121631.29,"Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)","Triassic, Middle (Muschelkalk)"
10,Polygon,9478,1014469.065,3745.994054,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",6029.925178,2628256.181,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
11,Polygon,9488,430242.5078,2389.2616,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",3845.400985,1114531.623,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
12,Polygon,9490,3442051.782,8317.056636,500,t,TertiÑr,t, , , , , ,13385.82607,8914513.785,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
13,Polygon,9505,5481870.774,10167.87535,519,tol,"TertiÑr, OligozÑn ungegliedert",tol, , ,"Ton, Schluff, Sand, Kies; Brankohle", , ,16361.18712,14192078.48,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
14,Polygon,9517,1434105.982,4500.120195,519,tol,"TertiÑr, OligozÑn ungegliedert",tol, , ,"Ton, Schluff, Sand, Kies; Brankohle", , ,7243.411981,3712663.47,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
15,Polygon,9568,483321.6093,2667.661292,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",4292.242498,1250512.428,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
16,Polygon,9577,1219106.334,4301.988387,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",6921.262685,3153242.759,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
17,Polygon,9582,9496302.145,29492.25264,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,47414.85456,24497338.07,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
18,Polygon,9586,8859456.475,16220.82437,94,//Lo,Weichsel-(WÅrm-)Kaltzeit,"qw,qW","Lî· (Ñolisch), Lî·lehm","Lo(a),Lol","Schluff; feinsandig, tonig, z.T. nach unten zunehmend kalkhaltig","U;fS,t,unz(k)","Lî·, Lî·lehm u.a. Lî·derivate, oft Åber Ñlteren Lîssen",26078.10092,22903365.54,Pleistocene,Pleistocene,Pleistocene
19,Polygon,9595,33618265.73,53198.02259,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,85451.19296,86686499.95,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
20,Polygon,9599,1196901.038,3994.536986,519,tol,"TertiÑr, OligozÑn ungegliedert",tol, , ,"Ton, Schluff, Sand, Kies; Brankohle", , ,6424.987923,3094832.025,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
21,Polygon,9612,15231186.71,21601.91315,94,//Lo,Weichsel-(WÅrm-)Kaltzeit,"qw,qW","Lî· (Ñolisch), Lî·lehm","Lo(a),Lol","Schluff; feinsandig, tonig, z.T. nach unten zunehmend kalkhaltig","U;fS,t,unz(k)","Lî·, Lî·lehm u.a. Lî·derivate, oft Åber Ñlteren Lîssen",34725.62311,39315908.52,Pleistocene,Pleistocene,Pleistocene
22,Polygon,9645,443548.6842,2459.58942,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",3954.504602,1146271.657,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
23,Polygon,9661,457092.0616,2463.900972,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",3960.352058,1180998.965,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
24,Polygon,9664,5245492.97,11779.96452,24,//f,HolozÑn,qh,fluviatil,f,"Sand, Kies, Schotter","S,G,fX",z.T. unter Aulehmdecke [in den Alpen mit pleistozÑnen Terassen und Hangablagerungen,18920.75228,13545172.35,Holocene,Holocene,Holocene
25,Polygon,9669,1968696.863,5497.300954,519,tol,"TertiÑr, OligozÑn ungegliedert",tol, , ,"Ton, Schluff, Sand, Kies; Brankohle", , ,8839.846779,5084701.211,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
26,Polygon,9672,376681.191,2246.709894,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",3611.447507,973065.5961,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
27,Polygon,9685,1439860.812,4510.833359,519,tol,"TertiÑr, OligozÑn ungegliedert",tol, , ,"Ton, Schluff, Sand, Kies; Brankohle", , ,7251.59974,3718261.787,Tertiary (fluviatile),Tertiary (fluviatile),Tertiary (fluviatile)
28,Polygon,9697,4113850.799,15006.58314,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,24107.15246,10616673.1,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
29,Polygon,9701,60514094.57,93627.37957,654,z,"Perm, Zechstein",z,marine Ablagerung,m,"Kalkstein, Dolomitstein, Tonstein","^k,^d,^t",Karbonatisch-tonige Randfazies,150169.0509,155648451.1,"Permian, Upper (Zechstein)","Permian, Upper (Zechstein)","Permian, Upper (Zechstein)"
30,Polygon,9710,575451.8796,2735.002638,791,t/+B,TertiÑr,t,Effusivgestein: Lava,vu,"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit","+""a""-+B,+Bs,+Te,+Ne,+Ty-+B,+""o""-+B,+An","auch einige Vorkommen mit Trachyt, Phonolith, Latit",4394.357994,1485864.232,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
31,Polygon,9719,5805473.88,13889.90634,589,tr,Trias ungegliedert,tr, , , , ,Oberostalpin (îrtlich Unterostalpin in den Stubaier Alpen),22315.97781,14971534.25,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
32,Polygon,9725,11195998.07,21872.70684,591,k,"Trias, Keuper",k, , ,"Tonstein, Sandstein, Quarzit, Dolomit","^t,^s,^q,^d", ,35131.01753,28857549.05,"Triassic, Middle to Upper (Keuper)","Triassic, Middle to Upper (Keuper)","Triassic, Middle to Upper (Keuper)"
33,Polygon,9726,3554291.442,14003.61786,609,so,"Trias, Oberer Buntsandstein, Roet",so,marine Ablagerungen,m,"roter Tonstein, mergelig, mit Salinarfolge: Steinsalz, Anhydrit; Mergel, Quarzit, Plattensandstein","^t(ro,m),mmSF(^na,^ah),^m,^q,^s(pg)", ,22505.60362,9163630.124,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
34,Polygon,9738,3486070.266,7456.53541,500,t,TertiÑr,t, , , , , ,11982.39647,8992559.29,Tertiary (volcanites),Tertiary (volcanites),Tertiary (volcanites)
35,Polygon,9749,1808744.888,6752.159324,612,sm,"Trias, Mittlerer Buntsandstein",sm,limnisch - fluviatile bis brackische Ablagerungen,"l-f,br","Sandstein, Siltstein, Tonstein","^s,^u,^t", ,10848.53356,4663950.015,"Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)","Triassic, Lower (Buntsandstein)"
